,sentence,triples
0,Many of the faculty in the English department got their degrees in the 1960s.,"('Many', 'got', 'English 1960s')"
1,This era has clearly left its mark on the faculty.,"('era', 'left', 'clearly  faculty')"
2,"They are vocal proponents of environmental causes, and they often encourage their students to speak out on these issues.","('environmental  they', 'are vocal', 'often  issues')"
3,"Because of their wellknown stance as activists, many members of the faculty have been called to testify before Congress.","('many wellknown members', 'called', 'Congress')"
4,"As a result, many members of this department have become recognizable faces on television news programs.","('many  members', 'become recognizable', 'recognizable television news programs')"
5,The English department faculty also have excellent reputations as teachers.,"('English department faculty', 'have excellent', 'excellent  teachers')"
6,"Not only are the faculty in this department extremely bright, they are able to enter the �beginner and present material in a clear engaging manner.","('extremely  they', 'are able', 'engaging � manner')"
7,"Because of this teaching skill, the English faculty have developed a rather smug attitude, and often look down on members of other departments.","('English faculty', 'developed', 'other  departments')"
8,"As a result, the members of the English department are resented by many faculty from other departments.","('members', 'resented by many', 'other English departments')"
9,A doctor is faced with a patient who has a malignant tumour in his stomach.,"('who', 'faced with', 'malignant  stomach')"
10,"It is impossible to operate on the patient, but unless the tumour is destroyed the patient will die.","('patient', 'is impossible', 'patient')"
11,X rays can be used to destroy the tumour.,"('X rays', 'used', 'tumour')"
12,If an X ray reaches it at sufficiently high intensity the tumour will be destroyed.,"('high  tumour', 'destroyed', 'high  intensity')"
13,"Unfortunately, at this intensity the healthy tissue that the ray passes through on the way to the tumour will also be destroyed.","('ray', 'destroyed', 'tumour')"
14,"At lower intensities the ray is harmless to healthy tissue, but it will not affect the tumour either.","('healthy  it', 'is harmless', 'tumour')"
15,It looked like the patient was going to die.,"('patient', 'looked', '')"
16,A doctor is faced with a patient who has a malignant tumor in his stomach.,"('who', 'faced with', 'malignant  stomach')"
17,"It is impossible to operate on the patient, but unless the tumor is destroyed the patient will die.","('patient', 'is impossible', 'patient')"
18,X rays can be used to destroy the tumor.,"('X rays', 'used', 'tumor')"
19,"If a x ray reaches it at a sufficiently high intensity, the tumor will be destroyed.","('high  tumor', 'destroyed', 'high  intensity')"
20,Unfortunately at this intensity the healthy tissue that the ray passes through on the way to the tumor will also be destroyed.,"('ray', 'destroyed', 'tumor')"
21,At lower intensities the ray is harmless to healthy tissue,"('lower  ray', 'is harmless', 'healthy  tissue')"
22,but it will not affect the tumor either.,"('it', 'affect', 'tumor')"
