,sentence,triples
0,"confused and frustrated, connie decides to leave on her own.","('connie', 'decides', 'own')"
1,"later, a woman’s scream is heard in the distance.","('later  woman', 'heard in', 'distance')"
2,christian is then paralyzed by an elder.,"('christian', 'paralyzed by', 'then  elder')"
3,the temple is set on fire.,"('temple', 'set on', 'fire')"
4,"outside, the cult wails with him.","('outside  cult', 'wails with', 'him')"
5,it's a parable of a woman's religious awakening—,"('it', ""'s"", 'religious  awakening')"
6,"c. mackenzie, and craig vincent joined the cast.","('c. mackenzie', 'joined', 'craig cast')"
7,"later, craig di francia and action bronson were revealed to have joined the cast.","('craig di francia', 'revealed', 'action cast')"
8,sebastian maniscalco and paul ben-victor were later revealed as being part of the cast.,"('sebastian maniscalco', 'revealed as', 'later paul ben cast')"
9,we just tried to make the film.,"('we', 'tried', 'just  film')"
10,we went through all these tests and things  ,"('we', 'went through', 'tests')"
11,m global was also circling to bid for the film's international sales rights.,"('m global', 'circling', 'international sales rights')"
12,canadian musician robbie robertson supervised the soundtrack.,"('canadian musician robbie robertson', 'supervised', 'soundtrack')"
13,it features both original and existing music tracks.,"('it', 'features', 'original music tracks')"
14,it is the worst reviewed film in the franchise.,"('it', 'is', 'reviewed  franchise')"
15,but she injures quicksilver and accidentally kills mystique before flying away.,"('she', 'injures', 'accidentally  mystique')"
16,military forces tasked with her arrest.,"('military  forces', 'tasked with', 'arrest')"
17,the train is attacked by vuk and her d'bari forces.,"('train', 'attacked by', 'vuk')"
18,"kota eberhardt portrays telepath selene gallio,","('', 'portrays', 'telepath selene gallio')"
19,"singer did not return to direct the sequel, x-men:","('singer', 'return', 'sequel')"
20,"the last stand, which was written by penn and simon kinberg.","('last  which', 'stand', 'penn')"
21,jessica chastain was also potentially being considered for the same character.,"('jessica chastain', 'considered for', 'same  character')"
22,mauro fiore served as cinematographer.,"('mauro fiore', 'served as', 'cinematographer')"
23,"filming was completed on october 14, 2017.","('filming', 'completed on', 'october')"
24,the soundtrack was released digitally on june 7.,"('soundtrack', 'released', 'digitally  june')"
25,"the album was released digitally on august 2, 2019.","('album', 'released', 'digitally  august')"
26,the film is distributed by walt disney studios motion pictures.,"('film', 'distributed by', 'studios motion pictures')"
27,it ended up debuting to just $103.7 million internationally and $136.5 million worldwide.,"('it', 'ended', '$  103.7')"
28,"the film stars kyle chandler, vera farmiga, millie bobby brown, bradley whitford, sally hawkins, charles dance, thomas middleditch, aisha hinds, o'shea jackson jr., david strathairn, ken watanabe, and zhang ziyi.","('', 'chandler', '')"
29,it is dedicated to executive producer yoshimitsu banno and original godzilla suit,"('it', 'dedicated to executive', 'executive producer yoshimitsu banno')"
30,vivienne graham approach former employee dr.,"('vivienne graham', 'approach former', 'former employee dr')"
31,"emma frees and awakens monster zero, which kills several monarch members, including dr.","('monster which', 'frees', 'several monarch members')"
32,"disillusioned, madison disowns her mother.through mythological texts, dr.","('madison', 'disowns', 'mythological  texts')"
33,joe morton appears as an older dr.,"('joe morton', 'appears as', 'older  dr')"
34,"godzilla, rodan, mothra, and king ghidorah were credited as themselves.","('godzilla', 'credited as', 'king themselves')"
35,"when asked about his reaction to being asked to direct, dougherty stated, 'yes.'","('when  dougherty', 'stated', 'when  reaction')"
36,we're empathizing with godzilla.,"('we', 'empathizing with', 'godzilla')"
37,"legendary's only mandate was to include monarch, rodan, mothra, and king ghidorah.","('only  mandate', 'was', 'monarch')"
38,ten writers contributed to building on the treatment.,"('ten  writers', 'contributed to', 'treatment')"
39,the script took a year to come together.,"('script', 'took', 'year')"
40,"dougherty also changed, revised, and improved lines during filming and post-production.","('dougherty', 'changed', 'improved  filming')"
41,"due to this, the film became an ensemble piece.","('film', 'became', 'this')"
42,it can't just look like big dinosaurs.,"('it', 'look like big', 'big  dinosaurs')"
43,other actors perform the body.,"('other  actors', 'perform', 'body')"
44,production designer scott chambliss managed all the art directors.,"('designer scott chambliss', 'managed', 'art directors')"
45,"the single was released on may 13, 2019.
","('single', 'released on', 'may')"
46,"all tracks are written by bear mccreary, except where noted.","('tracks', 'written by', 'bear mccreary')"
47,"the score is also conducted by mccreary.
","('score', 'conducted by', 'also  mccreary')"
48,"on december 10, 2018, the film's first teaser poster and ccxp trailer were released.","('first teaser poster', 'released', 'december')"
49,"in april 2019, the main theatrical poster was released online.","('theatrical  poster', 'released', 'april')"
50,"the film was originally scheduled to be released on june 8, 2018.","('film', 'scheduled', 'originally  june')"
51,the collectible tickets were offered in two sizes: standard  and godzilla-sized .,"('collectible  tickets', 'offered in', 'two  sizes')"
52,"the 4k release includes hdr10, hdr10","('4k release', 'includes', 'hdr10')"
53,the retail exclusives will also include limited special clear files.,"('retail  exclusives', 'include limited', 'clear  files')"
54,"such heroes are ready with one-liners, puns, and dry quips.","('such  heroes', 'are ready', 'one  liners')"
55,it was action with a science fiction twist.,"('it', 'was', 'science fiction twist')"
56,"currently, action films requiring extensive stunt work and special effects tend to be expensive.","('currently action films', 'tend', 'extensive stunt work')"
57,examples include the indiana jones franchise and many superhero films.,"('examples', 'include', 'indiana jones franchise')"
58,themes or elements often prevalent in typical action-horror films,"('themes', 'prevalent in typical', 'typical horror films')"
59,paul blart: mall cop is a recent spoof of this trend .,"('mall cop', 'blart', 'recent  trend')"
60,"they are usually the films' primary appeal and entertainment value and are often the method of storytelling, character expression, and development.","('they', 'are', 'often entertainment storytelling')"
61,both had many roles.,"('both', 'had many', 'many  roles')"
62,"the producer also supervises the pre-production, production, and post-production stages of filmmaking.","('producer', 'supervises', 'also  production')"
63,"finally, the producer will oversee the marketing and distribution.","('finally  producer', 'oversee', 'marketing')"
64,the line producer can be credited as produced by in certain cases.,"('line producer', 'credited', 'certain  cases')"
65,"however, most producers start in a college, university or film school.","('most  producers', 'start in', 'college')"
66,"some film directors started as screenwriters, cinematographers, producers, film editors or actors.","('film directors', 'started as', 'screenwriters')"
67,other film directors have attended a film school.,"('other film directors', 'attended', 'film school')"
68,directors use different approaches.,"('directors', 'use different', 'different  approaches')"
69,"some directors also take on additional roles, such as producing, writing or editing.","('directors', 'take', 'such  producing')"
70,some film schools are equipped with sound stages and post-production facilities.,"('film schools', 'equipped with sound', 'sound  stages')"
71,a full degree course can be designed for up to five years of studying.,"('full degree course', 'designed for', 'five  studying')"
72,the german film and television academy berlin consequently cooperates with the berlin/brandenburg tv station rbb  and arte.,"('film academy berlin', 'cooperates with', 'berlin brandenburg tv station')"
73,"la femis in paris, tel aviv university, and vancouver film school.","('', 'femis in', 'paris')"
74,the national film awards is the most prominent film award ceremonies in india.,"('national film awards', 'is', 'prominent film award india')"
75,the awards were first presented in 1954.,"('awards', 'presented in', 'first  1954')"
76,the national film awards are presented in two main categories: feature films and non-feature films.,"('national film awards', 'presented in', 'main  categories')"
77,he returns home and enters sophie's apartment.,"('he', 'returns', 'home  apartment')"
78,a mass riot breaks out in gotham.,"('mass  riot', 'breaks', 'gotham')"
79,arthur is imprisoned at arkham state hospital.,"('arthur', 'imprisoned at', 'arkham state hospital')"
80,after his film war dogs premiered in august 2016.,"('film war dogs', 'premiered in', 'august')"
81,"we're not even doing joker, but the story of becoming joker.","('we', 'doing', 'even  joker')"
82,and then we'd reshoot that three weeks later.,"('then  we', 'reshoot', 'that')"
83,"that month, dante pereira-olson and douglas hodge joined the cast.","('olson  hodge', 'joined', 'cast')"
84,it is scheduled to be released theatrically by warner bros.,"('it', 'scheduled', 'theatrically warner bros')"
85,it's really been eye-opening for me.,"('it', 'been', 'eye  me')"
86,i can't wait to see it.,"('i', 'wait', 'it')"
87,they did it.,"('they', 'did', 'it')"
88,i can't wait to see it.,"('i', 'wait', 'it')"
89,they did it.,"('they', 'did', 'it')"
