NOUN,VERB/PREP,NOUN
buyer,of,chain
some_wholesale_leather_boots_boots,from,manufacturer
chain,in,States
deal,successfully,shipment
aspects,of,deal
deal,except,shipment
shipment,of,some_wholesale_leather_boots_boots
Syd_she,decided,leather_boots_boots
Syd_Syd,thought,there
Syd_she,purchase,leather_boots_boots
there,be,difficulties
difficulties,dealing_with,conglomerate
some_wholesale_leather_boots_boots,from,company
company,from,manufacturers
manufacturers,of,pricing
difficulties,in,conglomerate
company,told,Syd_Syd
manufacturers_they,pay,leather_boots_boots
manufacturers_they,ship,leather_boots_boots
representative,from,company
some_wholesale_leather_boots_boots,by,boat
Syd_Syd,concerned,States
States,announced,embargo
embargo,placed_on,goods
goods,from,country
country,in,future
representative,told,Syd_Syd
representative,worry,boat
boat,arrive_at,dock
boat,be,policy
policy,ship,goods
goods,was,needs
goods,to,needs
needs,of,businesses
Syd_Syd,pay,leather_boots_boots
Syd_Syd,ship,leather_boots_boots
some_wholesale_leather_boots_boots,by,freight
representative,refused,cost
representative,of,cost
They_They,argued,boat
Syd_Syd,considered,deal
Syd_Syd,breaking,deal
Syd_Syd,buying,leather_boots_boots
some_wholesale_leather_boots_boots,from,option
Syd_she,also,relationship
Syd_she,like,line
Syd_she,try,relationship
Syd_she,establish,relationship
relationship,with,conglomerate
Syd_Syd,suggested,proposal
their_product_line_it,seemed,negotiations
negotiations,break,Syd_Syd
proposal,to,representative
representative,from,manufacturer
They_They,send,leather_boots_boots
sides,watch,boat
sides,docks,States
some_wholesale_leather_boots_boots,by,freight
boat,in,States
boat,happened,time
representative,believed,their_product_line_it
their_product_line_it,would,Syd_Syd
Syd_Syd,pay_for,cost
boat,arrive_on,time
cost,of,freight
manufacturer,pay,bill
boat,were,Syd_Syd
boat,arrive,Syd_Syd
Syd_Syd,believed,their_product_line_it
their_product_line_it,would,manufacturer
party,got,arrangement
manufacturer,pleased_with,proposal
